movie_title,movie_imdb_link,country,budget,gross,foreign_currency
Metropolis ,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,Germany,budget,gross,foreign_currency
Seven Samurai ,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,Japan,budget,gross,foreign_currency
The Bridge on the River Kwai ,http://www.imdb.com/title/tt0050212/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Dr. No ,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Lawrence of Arabia ,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Cleopatra ,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
From Russia with Love ,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
Goldfinger ,http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
A Hard Day's Night ,http://www.imdb.com/title/tt0058182/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
A Fistful of Dollars ,http://www.imdb.com/title/tt0058461/?ref_=fn_tt_tt_1,Italy,budget,gross,foreign_currency
Thunderball ,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,UK,budget,gross,foreign_currency
